# f1,f2,f3,f4,f5,f6,f7,f8,sign
-1.028821110725402832e+00,5.683138370513916016e-01,5.120514869689941406e+00,-1.181941390037536621e+00,-4.740452766418457031e-01,-2.260304450988769531e+00,-1.072114348411560059e+00,-1.738710284233093262e+00,2.000000000000000000e+00
-8.563727736473083496e-01,5.006579756736755371e-01,5.035606861114501953e+00,-8.384895324707031250e-01,-6.617549657821655273e-01,-1.978874444961547852e+00,-1.219394445419311523e+00,-1.490938663482666016e+00,2.000000000000000000e+00
-5.748956203460693359e-01,-6.920101642608642578e-01,-1.666240811347961426e+00,7.052882909774780273e-01,-1.091566205024719238e+00,5.090280532836914062e+00,-9.553172588348388672e-01,-1.077803373336791992e+00,5.000000000000000000e+00
5.752950906753540039e-01,-1.679411768913269043e+00,-1.230052947998046875e+00,5.287421703338623047e+00,-1.754961133003234863e+00,3.887698650360107422e-01,-1.551466584205627441e+00,-1.163241863250732422e+00,3.000000000000000000e+00
-7.678849101066589355e-01,-8.416667580604553223e-01,-7.426465749740600586e-01,-1.231546759605407715e+00,-9.182400107383728027e-01,-5.989697575569152832e-01,-3.655375838279724121e-01,6.084604740142822266e+00,7.000000000000000000e+00
-5.555890798568725586e-01,-8.119129538536071777e-01,-1.078049659729003906e+00,-1.178282976150512695e+00,-6.351951956748962402e-01,-8.551927804946899414e-01,5.848582267761230469e+00,-7.999410033226013184e-01,6.000000000000000000e+00
5.602105259895324707e-01,-8.568245172500610352e-01,-1.831233203411102295e-01,-1.962330818176269531e+00,5.323284149169921875e+00,-2.578712701797485352e+00,-1.233662247657775879e+00,-2.036525964736938477e+00,4.000000000000000000e+00
-3.434382677078247070e-01,-9.653428196907043457e-01,-7.987155914306640625e-01,-1.507188677787780762e+00,-7.524407505989074707e-01,-1.507599830627441406e+00,6.436705112457275391e+00,-6.274653077125549316e-01,6.000000000000000000e+00
4.741154909133911133e-01,-1.473541021347045898e+00,-1.119678020477294922e+00,5.207828521728515625e+00,-1.728963017463684082e+00,3.229209184646606445e-01,-1.278091669082641602e+00,-1.306190133094787598e+00,3.000000000000000000e+00
-1.032143115997314453e+00,5.419012904167175293e-01,5.282669544219970703e+00,-1.168608784675598145e+00,-5.460035800933837891e-01,-2.330323219299316406e+00,-1.008899807929992676e+00,-1.602779746055603027e+00,2.000000000000000000e+00
-7.603594064712524414e-01,-5.574648380279541016e-01,-6.647447943687438965e-01,-1.015080690383911133e+00,-8.067129850387573242e-01,-6.794571280479431152e-01,-5.006865859031677246e-01,5.474858760833740234e+00,7.000000000000000000e+00
-6.132394075393676758e-01,-7.847620248794555664e-01,-1.002534985542297363e+00,-1.517706990242004395e+00,-6.441940069198608398e-01,-1.208426713943481445e+00,6.134182453155517578e+00,-7.775594592094421387e-01,6.000000000000000000e+00
-1.014554738998413086e+00,7.614327669143676758e-01,5.374840259552001953e+00,-1.401218056678771973e+00,-3.681541979312896729e-01,-2.521725893020629883e+00,-7.830581665039062500e-01,-1.891365170478820801e+00,2.000000000000000000e+00
-4.356629848480224609e-01,-9.551963806152343750e-01,-8.983834981918334961e-01,-1.552843093872070312e+00,-6.960856318473815918e-01,-1.525565743446350098e+00,6.455077648162841797e+00,-6.047090888023376465e-01,6.000000000000000000e+00
-1.488927602767944336e+00,5.559551239013671875e+00,1.006384968757629395e+00,-1.109619498252868652e+00,-4.769608378410339355e-01,-9.661292433738708496e-01,-9.746786355972290039e-01,-9.685083031654357910e-01,1.000000000000000000e+00
-3.331571817398071289e-01,-4.047730565071105957e-01,-2.307477295398712158e-01,-1.528480648994445801e+00,5.189385414123535156e+00,-1.991656780242919922e+00,-1.014189600944519043e+00,-1.410984873771667480e+00,4.000000000000000000e+00
5.389626979827880859e+00,-2.169575691223144531e+00,-1.590689182281494141e+00,4.861734509468078613e-01,-6.846590042114257812e-01,-7.594922184944152832e-01,-1.320030093193054199e+00,-2.378217220306396484e+00,0.000000000000000000e+00
-8.020155429840087891e-01,-7.415786981582641602e-01,-6.380892992019653320e-01,-1.057554483413696289e+00,-8.995571136474609375e-01,-5.767816901206970215e-01,-3.652845025062561035e-01,5.699895381927490234e+00,7.000000000000000000e+00
-1.714298129081726074e-01,-5.561447739601135254e-01,-1.992495894432067871e+00,1.357068300247192383e+00,-1.196566462516784668e+00,4.804553985595703125e+00,-1.250025033950805664e+00,-1.479324936866760254e+00,5.000000000000000000e+00
